Dataset_Name,numberofFeatres,logofFeatures,numberofInstances,logofInstances,numberofClasses,numberofNumericalFeatures,numberofCategoricalFeatures,ratio,entropy,classprobmax,classprobmin,classprobmean,classprobstd,symbolsmean,symbolssum,symbolsstd,skewnessmin,skewnessmax,skewnessmean,skewnessstd,kurtosismin,kurtosismax,kurtosismean,kurtosisstd,DatasetRatioofNumberofFeaturestoNumberofInstances,Best_model
modified_reg36,8,2.079441541679836,1000,6.907755278982137,990,1000,4,250,9.945784284662087,0.002,0.001,0.001010101,0.000100045,92.6906275,370762.51,112.64851584482106,0.007077448,0.8925698049581418,0.2314331135082404,0.4407667721769646,-1.566889158,-0.081884758,-1.020728143,0.6472565466141869,0.008,Linear Regression
modified_reg37,9,2.197224577,395000,12.88664104388326,126,395000,0,0,1.9853496744511223,0.6243594936708861,2.531645569620253e-06,0.007936508,0.057741739,207.1989429535865,736592242.2,265.6282055270098,-0.048981472,14.120888391825124,2.0369755400001632,4.651912707987618,-1.524596672,482.4124362378075,54.49140630579496,160.56098079494825,2.278481012658228e-05,KNeighborsRegressor
modified_reg38,16,2.772588722239781,5923,8.686598356276965,5923,5923,0,0,12.532112370795002,0.000168833,0.000168833,0.000168833,0,0.6529102650694144,61875.00000009827,0.6963526777755427,-0.35051656,3.400248974458378,0.3674915216575448,0.9119191272726658,-2.000674649,9.564922731,-0.701946754,2.813746536406426,0.002701334,XGBoost
modified_reg39,11,2.3978952727983707,13710,9.525880773,8703,13710,0,0,12.717744771479062,0.001239971,7.293946024799416e-05,0.000114903,0.000103962,375.6099922863572,56645742.93670552,400.26657267401055,-0.43846137,2.053128205979109,0.4433986918166638,0.758058664,-1.816101986,3.481925183,-0.263469416,1.6612799467006163,0.000802334,Random Forest Regressor
modified_reg4,15,2.708050201,378708,12.844520738567736,3731,378708,0,0,9.483771202,0.011061293,2.6405568406265514e-06,0.000268025,0.000842171,154.17190198624266,875791989.9,168.82728714172495,-1.256761906,8.610671383703622,1.3301707140737131,2.630476917126217,-1.207108342,72.14404267899539,8.899301681,18.50350122663276,3.960835260939827e-05,Random Forest
modified_reg40,5,1.6094379124341005,1048575,13.862942657524137,344,1048575,0,0,1.848642852496993,0.6617724054073385,9.536752259018191e-07,0.002906977,0.036900965,2149.576335502945,11269960030,2781.7489196367624,-0.052069625,57.38697827659149,22.988214379838173,31.40169886403268,-1.22033134,5408.004812193504,2162.50831,2962.719138990518,4.768376129509096e-06,Linear Regressor
modified_reg42,9,2.197224577,3054348,14.93207670718848,379610,3054348,0,0,8.837095019389176,0.3122568220779034,3.2740211658920335e-07,2.634282553146647e-06,0.000518792,47.622159266660354,1309091822.2062497,367.0771003721911,-3.300268854,11.299618155392382,1.7033507600678617,4.593832246105351,-1.25624493,250.88638946810136,46.87936084456995,93.93299040843954,2.9466190493028298e-06,RandomForestRegressor
modified_reg43,36,3.583518938,8523,9.050523670522296,3493,8523,31,274.93548387096774,11.402028987538433,0.001994603,0.00011733,0.000286287,0.00022945,866.6074678959445,36930477.24438568,755.2172967109191,-0.396640786,1.1775306028542796,0.4331488173718681,0.705743383,-1.205693917,1.6794454826024237,0.067912935,1.4486223797876878,0.004223865,Random Forest
modified_reg44,4,1.3862943611198906,896,6.797940413,816,896,0,0,9.627098476740272,0.003348214,0.001116071,0.00122549,0.000341168,15851.27539,56810971,8459.480052756457,0.030366863,0.1487936429105525,0.072058171,0.054919028,-0.456116274,-0.259751234,-0.319875464,0.091422839,0.004464286,Linear Regression
modified_reg45,4,1.3862943611198906,200,5.298317366548036,121,200,0,0,6.752965862251096,0.025,0.005,0.008264463,0.004218548,53.72075,42976.600000000006,36.58901937,-0.069853362,0.8947204074986175,0.3316532754848071,0.4244258266541305,-1.260401403,0.6495019091381007,-0.561565885,0.8982395837293382,0.02,Linear Regression
